node_id,landuse_type,area_sqm,longitude,latitude
187,0,188.5535160084255,234214.87247926948,902330.4881779429
188,0,272.8688973709941,234222.52968237884,902325.9346592616
189,0,468.84492875478463,234505.54542748636,902324.9622673849
190,0,295.4424513923004,234231.7018964571,902324.4616411584
191,0,116.00271544605494,234019.71911220197,902334.5161630702
192,0,404.08733017835766,234242.96328670418,902322.6339690859
193,0,473.2512301867828,234520.71970249878,902322.4040270516
194,0,472.64886709023267,234257.00567989485,902320.2284602196
195,0,468.26342488109367,234535.9141129669,902319.7597086699
196,0,502.0899744955823,234272.543777229,902317.0776503592
197,0,446.7693227834534,234550.73390793076,902317.2516805847
198,0,121.3870888762176,234018.64725152918,902328.2912935592
199,0,116.61626252066344,234284.67909180524,902323.6838708965
200,0,238.781331227161,234561.86739646617,902315.449190929
201,-1,1051.181150236167,234137.01586940937,902307.7566939964
202,0,164.48014816641808,234293.78555551235,902322.0267839076
203,0,221.23344803834334,234569.31551949278,902314.1809474578
204,0,241.30818039597943,234576.78566089098,902312.9497960405
205,0,181.0533876386471,234305.0692023992,902320.1205687954
206,0,253.5929416033905,234584.7805918466,902311.8593517194
207,0,123.89423969015479,234017.5485317819,902321.9128548236
208,0,216.17641776707023,234200.3979810355,902318.2008100126
209,0,220.2192593878135,234333.00296750676,902314.7789282441
210,0,197.47801615810022,234216.01587988227,902295.8573009648
211,0,181.92716957931407,234222.0973650327,902294.9716235753
212,0,360.88246194063686,234230.76161058145,902293.4637116895
213,0,211.97226266749203,234294.81431758933,902303.4502526931
214,0,117.64370071981102,233980.6266843877,902303.2196496141
215,0,208.46481158863753,234338.39532398258,902302.2037749811
216,0,187.23963284958154,234239.52243335577,902291.9852695469
217,0,190.94379391451366,234245.59424379602,902291.0677697969
218,0,298.8268176136771,234297.34644004478,902290.5314099552
219,0,135.15167357958853,234464.48984555143,902291.0507288649
220,0,114.79395662993193,234012.1924150591,902297.0256256738
221,0,474.601567355101,234281.78496010698,902284.8337530548
222,0,139.68918983545154,234331.2691308307,902295.7962750216
223,0,121.2062202449888,233979.11652514103,902295.825223118
224,0,178.88366294978186,234471.57386797317,902289.3872846623
225,0,334.087338257581,234483.25225601363,902287.2021167492
226,0,402.4223643800942,234027.67462189993,902286.2370761328
227,0,102.42231092462316,234346.12784375268,902293.2742882043
228,0,483.07145149167627,234497.95718357677,902279.9778066524
229,0,186.4892829041928,234041.71358410112,902285.0108531474
230,0,127.69191572535783,234011.01713052788,902289.9761875635
231,0,145.50587431532767,234049.82345948645,902283.4417713174
232,0,122.09712130017579,233977.73309783306,902288.3144891728
233,0,369.0090836605523,234511.8353526098,902277.6037522247
234,0,107.92332676798105,234328.84508043487,902288.4364859763
235,0,775.1600266704336,234072.42686281577,902266.0199445924
236,0,567.1132601134013,234526.92693193155,902274.8853526019
237,0,336.82281956332736,234341.27165886006,902276.1480428176
238,0,176.10985379235353,234082.16030361506,902279.9886587698
239,0,179.39059069845825,234091.96927480825,902279.7145158688
240,0,445.2789698606357,234543.1684107488,902272.3152847552
241,0,127.67365140188485,234009.6790510797,902282.6840132448
242,0,80.34579879010562,234099.4310981708,902278.4962732779
243,0,383.46967868693173,234361.56512212698,902271.1949363041
244,0,117.5363095542416,234327.56546474932,902280.9407580849
245,0,379.4809312541038,234374.08028910524,902269.2917830161
246,0,207.70242765638977,234121.69319609544,902274.3973258391
247,0,220.2595633333549,234295.76667945972,902273.9925330052
248,0,161.11436212062836,234133.39864670948,902272.2724713001
249,0,264.3619790878147,234473.5811542422,902273.5090893249
250,0,120.00194393843412,234008.36138139284,902275.7232856858
251,0,455.7854544399306,234402.9806044512,902264.3064869522
252,0,477.6892820808571,234150.33372382243,902267.6973026304
253,0,104.91814921516925,234326.08181675326,902273.4983233897
254,1,5513.022657404363,234638.57625599802,902240.859631383
255,0,472.2892602222273,234418.03482688416,902261.6822818537
256,0,161.8885828856146,234327.92812605898,902266.1074286271
257,0,300.7933968324214,234466.28007460345,902262.855273764
258,0,227.78944534994662,234184.50203211527,902262.501782466
259,0,236.84174905298278,234194.89044075995,902253.1808952823
260,0,281.3102590679191,234480.5127882944,902251.8175287797
261,0,211.44897899311036,234124.6388205641,902261.4674422783
262,0,321.7651074095629,234204.21968118922,902251.590420757
263,0,264.3274267613888,234009.83818907832,902259.2834787357
264,0,391.67172445822507,234491.13034299828,902249.9811279298
265,0,574.9641748769209,234506.442244392,902247.3746117669
