eposode,density_Residential,density_Office,density_Commercial,density_Facility,density_Greenspace,diversity,proximity_Residential,proximity_Office,proximity_Commercial,proximity_Facility,proximity_Greenspace,global_reward,prosocial
2,0.0020773888,0.00024620755,0.00032890812,0.00041831195,0.0007880688,0.7631273,0.00012869241,7.811594e-06,4.6775394e-06,5.2824967e-06,6.216305e-06,0.9034304618835449,46459.83555555555
3,0.001948025,0.00024250406,0.00041637887,0.00037841048,0.0008376915,0.73463655,0.0001361776,7.828606e-06,4.088336e-06,4.5951047e-06,6.201087e-06,0.8662611842155457,46717.002222222225
0,0.0027132905,0.00022997822,0.00027480107,0.00042293067,0.00084058597,0.81845176,9.306013e-05,9.205173e-06,4.641541e-06,5.224153e-06,6.2074378e-06,0.9761120080947876,41788.02
1,0.00257725,0.0002456183,0.00022375962,0.00043118533,0.0008376915,0.7854856,0.00010499155,7.925867e-06,4.97968e-06,4.757543e-06,6.201087e-06,0.9315744638442993,42438.62388888889
0,0.0019887383,0.0002580696,0.00037824342,0.00047953293,0.00071193307,0.7128029,0.00012967557,8.301288e-06,2.6968714e-06,4.556299e-06,6.413481e-06,0.8328561186790466,32088.450555555555
1,0.002235471,0.000271162,0.0004120074,0.00034685482,0.00078281295,0.7508173,0.00011320758,1.2421962e-05,3.5695089e-06,4.475607e-06,6.7449646e-06,0.8708705306053162,28796.06722222222
2,0.002425851,0.00024465457,0.0002982062,0.00050711207,0.0008063788,0.7450426,9.181668e-05,9.211123e-06,1.6726336e-06,4.4532003e-06,6.230431e-06,0.8607565760612488,28445.171666666673
0,0.0019259279,0.00024164391,0.0008445063,0.00046794864,0.00065292313,0.7030414,0.00014490547,7.934694e-06,4.142339e-06,4.37997e-06,6.5533404e-06,0.8245410323143005,41937.110555555555
0,0.0023540054,0.00023720347,0.00032050264,0.00042834372,0.00062234537,0.7573822,0.00011950901,8.167818e-06,3.4214067e-06,6.4085375e-06,7.0869146e-06,0.7575225234031677,46965.58222222223
0,0.002299409,0.00024221285,0.0003915461,0.00051563367,0.00055740756,0.74947816,0.00012108688,7.788405e-06,3.611891e-06,4.8087018e-06,7.940247e-06,0.8839956521987915,32344.435555555556
1,0.0025877461,0.000267788,0.00033374288,0.00036121564,0.0005851049,0.81446147,7.493889e-05,9.12715e-06,4.605645e-06,4.948556e-06,8.750608e-06,0.9692288637161255,29887.321666666667
0,0.0017379828,0.00024103925,0.00041723455,0.00048541685,0.00084954716,0.6593396,0.00017960675,7.679794e-06,3.7762131e-06,4.0930768e-06,6.210826e-06,0.770714282989502,42736.56
1,0.0022775743,0.00025827522,0.00016414221,0.0004987523,0.00078372686,0.76483727,0.00010225141,7.705721e-06,3.3150923e-06,6.4043547e-06,6.3017915e-06,0.9051403999328613,39513.271666666675
2,0.0020035957,0.00025357067,0.0004982746,0.0004066616,0.0007523379,0.76137763,0.00012066602,9.270677e-06,2.988549e-06,5.569924e-06,6.532159e-06,0.9016808271408081,40335.62055555556
3,0.002021642,0.00026141864,0.00031960304,0.00037810966,0.00073591596,0.7364084,0.00010967025,8.827703e-06,2.5936042e-06,4.9003884e-06,6.2680238e-06,0.8694794774055481,40469.517222222225
4,0.0021041492,0.0002588867,0.00019843235,0.00048020697,0.0006908565,0.7413612,0.00012064203,9.223313e-06,3.876086e-06,4.5295674e-06,6.3727744e-06,0.8744322657585144,39562.01055555556
5,0.002092981,0.00024093749,0.0002782863,0.00047691283,0.00083151873,0.73737955,0.00011771343,8.41217e-06,3.9079155e-06,4.363819e-06,6.2547147e-06,0.8646649122238159,39450.26499999999
6,0.0021171118,0.00026175988,0.00024801373,0.00056994415,0.00062197394,0.7502892,0.00012040004,8.1327935e-06,3.434347e-06,4.396761e-06,6.3931543e-06,0.8848066329956055,39322.52722222223
0,0.0025946684,0.0002434812,0.00032514427,0.00032904753,0.00049529405,0.7435573,0.0001051851,8.0102955e-06,2.8546606e-06,4.4338253e-06,8.123085e-06,0.8853068351745605,39510.96222222223
1,0.002995736,0.00025506323,0.0002536489,0.00033502252,0.0007723028,0.8285193,7.711561e-05,7.970841e-06,4.652843e-06,4.7250564e-06,7.2049525e-06,0.986179530620575,35493.18055555555
2,0.0028984647,0.00024879398,0.00029207577,0.00033244133,0.00084629294,0.85342985,6.668868e-05,7.680541e-06,5.2466007e-06,4.7493445e-06,6.287808e-06,1.0255544185638428,35595.041666666664
3,0.002829033,0.00025097458,0.00028001837,0.00031659423,0.00083190965,0.8388099,7.893589e-05,9.57677e-06,4.994639e-06,4.6036234e-06,6.5782274e-06,1.002255916595459,36151.40722222222
4,0.0030148954,0.00022512619,0.00032778044,0.00049901643,0.00074215303,0.8584175,6.468545e-05,7.858989e-06,5.6063463e-06,4.841732e-06,6.259698e-06,1.027649164199829,34901.295
5,0.003107438,0.00026394738,0.00023243851,0.00046505372,0.0006938914,0.8463936,5.8363174e-05,7.9162e-06,5.0557437e-06,5.573247e-06,6.2912154e-06,1.0083930492401123,35360.76055555555
6,0.0032237151,0.00026563508,0.00026972764,0.0003236197,0.0006002853,0.84670734,6.748354e-05,8.371857e-06,5.7018124e-06,4.77283e-06,6.919667e-06,1.013046145439148,35165.395
7,0.0028889272,0.00023924222,0.0002803145,0.00047925295,0.00084080535,0.8394681,5.8381076e-05,7.989483e-06,6.293694e-06,4.145027e-06,6.61031e-06,1.0014677047729492,34531.337222222224
8,0.0026869508,0.00024100947,0.00030014612,0.00043939723,0.0008481622,0.8343692,7.367056e-05,8.147176e-06,5.6243543e-06,4.782231e-06,6.2853055e-06,0.9963687062263489,35624.45388888888
9,0.0029451344,0.00022817266,0.00032023017,0.0004732233,0.0007889452,0.83927804,7.099373e-05,7.753787e-06,5.7900434e-06,4.5638394e-06,6.2402896e-06,1.0027239322662354,34834.90888888889
10,0.0030013483,0.0002394248,0.00027545408,0.00047147615,0.0008408371,0.85170853,6.188354e-05,7.887716e-06,5.549052e-06,4.6917403e-06,6.2568856e-06,1.0209401845932007,35078.29388888888
11,0.0025636333,0.0002642897,0.00029793795,0.0005455416,0.00058186403,0.82384634,7.6740536e-05,8.9035975e-06,4.94721e-06,5.1420666e-06,6.352081e-06,0.9829530119895935,35851.32888888889
12,0.0028782599,0.00026819605,0.00025275294,0.00042981954,0.00083951454,0.85073644,6.652884e-05,7.961381e-06,5.5667774e-06,4.7382528e-06,6.2311897e-06,1.014182448387146,34918.33166666667
13,0.0028974232,0.0002477951,0.00026752256,0.0004889911,0.00072995224,0.8484937,7.40154e-05,7.6836905e-06,5.784509e-06,4.4462104e-06,6.5790564e-06,1.0220646858215332,35689.437222222215
14,0.002802957,0.00023038611,0.00031435373,0.00042561424,0.00082884455,0.83273035,8.3616826e-05,7.85285e-06,5.5760647e-06,5.2724845e-06,6.2528375e-06,0.9932834506034851,35696.56055555556
15,0.0028154776,0.0002400542,0.0002782607,0.0004732499,0.00077873864,0.8296687,7.5986885e-05,7.934013e-06,5.2490905e-06,4.219136e-06,6.369861e-06,0.9902217984199524,36076.748888888884
16,0.0031292133,0.00024441132,0.00030413218,0.00030694075,0.0008373009,0.8547563,6.004931e-05,8.874323e-06,5.799388e-06,5.020771e-06,6.2955414e-06,1.0239880084991455,34868.16222222223
17,0.0027183243,0.00026440565,0.00027501647,0.00048773273,0.0007925963,0.83927804,6.985545e-05,8.456707e-06,6.319715e-06,4.5813936e-06,6.4837172e-06,1.0027239322662354,34775.38388888889
18,0.002876935,0.00025403008,0.00024850413,0.0004688838,0.00084954716,0.8301528,7.031686e-05,8.6657155e-06,5.7158777e-06,4.4143753e-06,6.210826e-06,0.9892594814300537,35521.69388888889
19,0.002813762,0.00025646656,0.00027222984,0.00041555104,0.0008438041,0.8387277,6.467238e-05,7.950697e-06,5.799793e-06,4.534883e-06,6.2312947e-06,1.0050665140151978,35390.77555555555
20,0.002829002,0.00025736433,0.00028567537,0.00047654784,0.0007888777,0.84589434,6.6809225e-05,7.74351e-06,6.536972e-06,4.075443e-06,6.4836036e-06,1.0165724754333496,34498.140555555554
21,0.00315334,0.00022156272,0.00031843226,0.00043309762,0.0008376915,0.843834,6.678163e-05,7.951149e-06,6.406201e-06,4.0773994e-06,6.201087e-06,1.0101728439331055,34641.955
22,0.002841631,0.00026007093,0.00025914394,0.00045394234,0.0008471001,0.84185266,7.449599e-05,9.01085e-06,5.553055e-06,4.1631847e-06,6.274756e-06,1.0096379518508911,35182.26722222223
23,0.0028766724,0.00022509911,0.00033142112,0.00043406698,0.00081359706,0.84613633,7.0462826e-05,7.693699e-06,6.321902e-06,4.132854e-06,6.2960576e-06,1.0153679847717285,35077.521666666675
24,0.0029081146,0.00025794317,0.00025857438,0.0004991605,0.0007905332,0.8454725,6.907523e-05,9.842873e-06,5.005836e-06,4.3806995e-06,6.5653794e-06,1.0132577419281006,34761.24055555555
25,0.0031074756,0.00023821265,0.00026866116,0.00045672213,0.0008295882,0.84397584,5.311672e-05,7.693026e-06,5.3997423e-06,4.0918167e-06,6.271156e-06,1.0146539211273193,34965.290555555555
26,0.003035733,0.00023650157,0.00030493859,0.00046453835,0.00070151174,0.8432845,6.6756125e-05,7.880984e-06,5.210634e-06,4.46408e-06,6.2731824e-06,1.0110697746276855,34745.077222222215
27,0.0031429913,0.00024041609,0.0002957789,0.00040712292,0.0006858773,0.85498005,5.844099e-05,7.673917e-06,6.3026655e-06,4.645482e-06,6.361325e-06,1.0328903198242188,34761.21055555557
28,0.003058936,0.00024860562,0.00028264694,0.00033847414,0.00080581877,0.8470488,6.0526218e-05,7.74874e-06,5.8083706e-06,4.1785243e-06,6.2808404e-06,1.0191733837127686,34774.515
29,0.0028268257,0.0002472826,0.0002676172,0.00047206235,0.0008529612,0.83770394,6.684701e-05,7.674843e-06,5.274581e-06,4.146236e-06,6.2822664e-06,1.0083820819854736,35415.861666666664
